# format,name,description,state,packages,custom
p,firefox,Standalone web browser from Mozilla,on,firefox firefox-ublock-origin,
p,thunderbird,Standalone mail and news reader from Mozilla,on,thunderbird,
p,neomutt,Command line mail reader,off,neomutt,
p,mpv,A minimalistic media player,off,mpv,
p,yt-dlp,A really powerful video downloader,on,yt-dlp aria2 atomicparsley ffmpeg python-mutagen python-pycryptodomex python-websockets rtmpdump,
f,tauon,Tauon music player (Flatpak),off,com.github.taiko2k.tauonmb,
f,spotify,A proprietary music streaming service (Flatpak),off,com.spotify.Client,
p,keepassxc,Cross-platform port of Keepass password manager,off,keepassxc xclip wl-clipboard,
p,bitwarden,A secure and free password manager,off,bitwarden,
p,chromium,A web browser from Google,off,chromium,
f,librewolf,Privacy-oriented fork of Firefox (Flatpak),off,io.gitlab.librewolf-community,
p,qbittorrent,An advanced BitTorrent client,off,qbittorrent,
p,gimp,GNU Image Manipulation Program,on,gimp poppler-glib,
p,kdenlive,A video editor,off,kdenlive mediainfo noise-suppression-for-voice opencv opentimelineio,
f,obs,Software for live streaming and recording (Flatpak),off,com.obsproject.Studio,sudo pacman -S v4l2loopback-utils --needed --noconfirm
a,timeshift,A system restore utility (AUR),off,timeshift,
a,timeshift-autosnap,Create a snapshot before system upgrade,off,timeshift-autosnap,
p,discord,All-in-one voice and text chat,off,discord,
f,discord-flatpak,All-in-one voice and text chat (Flatpak),off,com.discordapp.Discord,
f,telegram,Official Telegram Desktop client (Flatpak),off,org.telegram.desktop,
p,element,Instant messaging client implementing the Matrix protocol,off,element-desktop,
a,onlyoffice,An office suite (AUR),off,onlyoffice-bin,
p,libreoffice,A free and open-source office suite,on,libreoffice-fresh libpaper sane libmythes,
p,helvum,GTK patchbay for PipeWire,off,helvum,
p,qpwgraph,PipeWire Graph Qt GUI Interface,on,qpwgraph,
p,easyeffects,A great equalizer and many more things (trust me you need it!),on,easyeffects,
a,jamesdsp,A good easyeffects alternative (AUR),off,jamesdsp,
p,calibre,Ebook management application,off,calibre,
